,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
144,original-pride,red,#e50000,229,0,0,0.0%,100.0%,100.0%,10.2%,,,
145,original-pride,dandelion,#fedf08,254,223,8,0.0%,12.2%,96.85%,0.39%,,,
146,original-pride,emerald green,#028f1e,2,143,30,98.6%,0.0%,79.02%,43.92%,,,
147,pansexual,dodgerblue,#1e90ff,30,144,255,88.24%,43.53%,0.0%,0.0%,,,
148,pansexual,deeppink,#ff1493,255,20,147,0.0%,92.16%,42.35%,0.0%,,,
149,pansexual,gold,#ffd700,255,215,0,0.0%,15.69%,100.0%,0.0%,,,
150,polyamory,black,#000000,0,0,0,0%,0%,0%,100%,,,
151,polyamory,blue,#0000ff,0,0,255,100.0%,100.0%,0.0%,0.0%,,,
152,polyamory,red,#ff0000,255,0,0,0.0%,100.0%,100.0%,0.0%,,,
153,polyamory,fire engine red,#fe0002,254,0,2,0.0%,100.0%,99.21%,0.39%,,,
154,polysexual,dodgerblue,#1e90ff,30,144,255,88.24%,43.53%,0.0%,0.0%,,,
155,polysexual,hot magenta,#f504c9,245,4,201,0.0%,98.37%,17.96%,3.92%,,,
156,polysexual,tealish green,#0cdc73,12,220,115,94.55%,0.0%,47.73%,13.73%,,,
157,pride-poc-inclusive,hotpink,#ff69b4,255,105,180,0.0%,58.82%,29.41%,0.0%,,,
158,pride-poc-inclusive,electric blue,#0652ff,6,82,255,97.65%,67.84%,0.0%,0.0%,,,
159,pride-poc-inclusive,black,#000000,0,0,0,0%,0%,0%,100%,,,
160,pride-poc-inclusive,dandelion,#fedf08,254,223,8,0.0%,12.2%,96.85%,0.39%,,,
161,pride-poc-inclusive,emerald green,#028f1e,2,143,30,98.6%,0.0%,79.02%,43.92%,,,
162,pride-poc-inclusive,red,#e50000,229,0,0,0.0%,100.0%,100.0%,10.2%,,,
163,pride-poc-inclusive,medium brown,#7f5112,127,81,18,0.0%,36.22%,85.83%,50.2%,,,
164,pride-poc-inclusive,darkorange,#ff8c00,255,140,0,0.0%,45.1%,100.0%,0.0%,,,
165,progress,darkorange,#ff8c00,255,140,0,0.0%,45.1%,100.0%,0.0%,,,
166,progress,purple,#800080,128,0,128,0.0%,100.0%,0.0%,49.8%,,,
167,progress,indigo,#380282,56,2,130,56.92%,98.46%,0.0%,49.02%,,,
168,progress,dandelion,#fedf08,254,223,8,0.0%,12.2%,96.85%,0.39%,,,
169,progress,red,#e50000,229,0,0,0.0%,100.0%,100.0%,10.2%,,,
170,progress,emerald green,#028f1e,2,143,30,98.6%,0.0%,79.02%,43.92%,,,
171,progress,black,#000000,0,0,0,0%,0%,0%,100%,,,
172,progress,brown,#653700,101,55,0,0.0%,45.54%,100.0%,60.39%,,,
173,progress,sky blue,#75bbfd,117,187,253,53.75%,26.09%,0.0%,0.78%,,,
174,progress,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
175,progress,soft pink,#fdb0c0,253,176,192,0.0%,30.43%,24.11%,0.78%,,,
176,Qpoc,black,#000000,0,0,0,0%,0%,0%,100%,,,
177,Qpoc,red,#e50000,229,0,0,0.0%,100.0%,100.0%,10.2%,,,
178,Qpoc,purple,#800080,128,0,128,0.0%,100.0%,0.0%,49.8%,,,
179,Qpoc,electric blue,#0652ff,6,82,255,97.65%,67.84%,0.0%,0.0%,,,
180,Qpoc,darkorange,#ff8c00,255,140,0,0.0%,45.1%,100.0%,0.0%,,,
181,Qpoc,emerald green,#028f1e,2,143,30,98.6%,0.0%,79.02%,43.92%,,,
182,Qpoc,dandelion,#fedf08,254,223,8,0.0%,12.2%,96.85%,0.39%,,,
183,Qpoc,rust brown,#8b3103,139,49,3,0.0%,64.75%,97.84%,45.49%,,,
184,Qpoc,browny orange,#ca6b02,202,107,2,0.0%,47.03%,99.01%,20.78%,,,
185,Qpoc,burlywood,#deb887,222,184,135,0.0%,17.12%,39.19%,12.94%,,,
186,Qpoc,brown,#653700,101,55,0,0.0%,45.54%,100.0%,60.39%,,,
187,Qpoc,dark brown,#341c02,52,28,2,0.0%,46.15%,96.15%,79.61%,,,
188,Qpoc,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
189,queer,black,#000000,0,0,0,0%,0%,0%,100%,,,
190,queer,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
191,queer,sunflower,#ffc512,255,197,18,0.0%,22.75%,92.94%,0.0%,,,
192,queer,coral pink,#ff6163,255,97,99,0.0%,61.96%,61.18%,0.0%,,,
193,queer,azure,#069af3,6,154,243,97.53%,36.63%,0.0%,4.71%,,,
194,queer,yellowish green,#b0dd16,176,221,22,20.36%,0.0%,90.05%,13.33%,,,
195,queer,powder pink,#ffb2d0,255,178,208,0.0%,30.2%,18.43%,0.0%,,,
196,queer,lightblue,#add8e6,173,216,230,24.78%,6.09%,0.0%,9.8%,,,
197,quiromantic,lightgrey,#d3d3d3,211,211,211,0.0%,0.0%,0.0%,17.25%,,,
198,quiromantic,black,#000000,0,0,0,0%,0%,0%,100%,,,
199,quiromantic,skyblue,#87ceeb,135,206,235,42.55%,12.34%,0.0%,7.84%,,,
200,quiromantic,kiwi green,#8ee53f,142,229,63,37.99%,0.0%,72.49%,10.2%,,,
201,skoliosexual,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
202,skoliosexual,bright yellow,#fffd01,255,253,1,0.0%,0.78%,99.61%,0.0%,,,
203,skoliosexual,black,#000000,0,0,0,0%,0%,0%,100%,,,
204,skoliosexual,true green,#089404,8,148,4,94.59%,0.0%,97.3%,41.96%,,,
205,transgender,sky blue,#75bbfd,117,187,253,53.75%,26.09%,0.0%,0.78%,,,
206,transgender,soft pink,#fdb0c0,253,176,192,0.0%,30.43%,24.11%,0.78%,,,
207,transgender,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
208,trigender,bubblegum pink,#fe83cc,254,131,204,0.0%,48.43%,19.69%,0.39%,,,
209,trigender,periwinkle,#8e82fe,142,130,254,44.09%,48.82%,0.0%,0.39%,,,
210,trigender,lightish green,#61e160,97,225,96,56.89%,0.0%,57.33%,11.76%,,,
211,twink,butter,#ffff81,255,255,129,0.0%,0.0%,49.41%,0.0%,,,
212,twink,light lavendar,#efc0fe,239,192,254,5.91%,24.41%,0.0%,0.39%,,,
213,twink,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
214,twink,black,#000000,0,0,0,0%,0%,0%,100%,,,
215,twospirit,red,#e50000,229,0,0,0.0%,100.0%,100.0%,10.2%,,,
216,twospirit,purple,#800080,128,0,128,0.0%,100.0%,0.0%,49.8%,,,
217,twospirit,electric blue,#0652ff,6,82,255,97.65%,67.84%,0.0%,0.0%,,,
218,twospirit,darkorange,#ff8c00,255,140,0,0.0%,45.1%,100.0%,0.0%,,,
219,twospirit,dandelion,#fedf08,254,223,8,0.0%,12.2%,96.85%,0.39%,,,
220,twospirit,emerald green,#028f1e,2,143,30,98.6%,0.0%,79.02%,43.92%,,,
221,twospirit,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
222,twospirit,black,#000000,0,0,0,0%,0%,0%,100%,,,
